lugar;delito;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
galicia;3.2.-Agresion sexual con penetracion;179;201;155;144;108;124;88;60;65;70;64;69;60;63;75
galicia;3.3.-Corrupcion de menores o incapacitados;10;12;19;8;7;14;4;15;19;11;25;18;14;6;10
galicia;3.4.-Pornografia de menores;40;43;29;40;36;39;36;30;33;37;18;17;19;26;37
galicia;3.5.-Otros contra la libertad sexual;126;166;83;119;87;89;67;73;76;53;43;40;43;63;54
galicia;4. RELACIONES FAMILIARES;249;204;190;167;177;171;190;224;242;286;298;236;236;169;169
galicia;5. PATRIMONIO;66,023;65,713;68,054;63,769;50,924;56,924;55,664;51,864;52,691;53,286;53,652;56,486;56,690;54,185;51,987
galicia;5.1.-Hurtos;19,620;20,300;19,527;15,367;12,348;18,846;19,903;20,320;21,326;22,032;23,027;24,200;23,606;22,464;21,461
galicia;5.2.-Robos con fuerza en las cosas;8,954;9,491;8,661;7,873;7,538;9,618;9,990;10,055;10,893;11,616;12,017;13,303;13,300;12,513;11,989
galicia;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;3,076;3,251;3,193;2,917;2,288;2,759;2,945;3,022;3,040;2,827;2,909;3,302;3,667;3,384;2,213
galicia;5.2.2.-Robos con fuerza en viviendas;2,575;2,684;2,690;2,593;2,403;3,135;3,395;3,402;3,684;4,235;4,314;4,563;3,845;2,875;2,731
galicia;5.2.3.-Robos con fuerza en establecimientos;1,728;1,934;1,361;1,110;1,568;2,072;1,933;1,979;2,320;2,264;2,468;2,696;2,810;2,582;2,756
galicia;5.3.-Robos con violencia o intimidacion;997;1,049;963;853;767;945;951;1,057;1,086;1,070;1,116;1,338;1,558;1,364;1,440
galicia;5.3.1.-Robos con violencia en via pública;538;552;529;474;343;450;497;572;565;567;632;668;877;692;895
galicia;5.3.2.-Robos con violencia en viviendas;126;100;95;84;105;114;119;117;122;113;137;150;142;120;119
galicia;5.3.3.-Robos con violencia en establecimientos;224;274;215;197;224;234;212;217;243;253;220;346;340;299;305
galicia;5.4.-Sustraccion de vehiculos;547;580;528;405;437;604;584;794;1,032;980;1,258;1,435;1,696;1,750;1,934
galicia;5.5.-Estafas;22,817;21,800;25,902;28,236;19,807;15,690;12,961;8,590;7,197;6,171;4,866;4,168;3,983;3,383;2,934
galicia;5.5.1.-Estafas informaticas;20,032;18,721;18,456;19,496;12,696;9,999;6,836;4,428;3,070;2,628;1,882;1,518;1,456;1,070;946
galicia;5.6.-Danos;10,084;9,927;10,280;9,089;8,188;9,311;9,413;9,537;9,760;9,924;9,934;10,771;11,394;11,670;11,332
galicia;5.7.-Contra la propiedad intelectual/industrial;36;37;40;29;31;101;117;54;53;77;73;112;98;116;159
galicia;5.8.-Blanqueo de capitales;40;13;13;4;17;8;13;11;11;8;2;3;7;0;2
galicia;5.9.-Otros contra el patrimonio;2,928;2,516;2,140;1,913;1,791;1,801;1,732;1,446;1,333;1,408;1,359;1,156;1,048;925;736
madrid;1. CONTRA LAS PERSONAS;36,458;34,880;33,243;29,383;25,967;29,288;27,360;27,093;25,275;30,615;35,230;35,149;37,374;38,965;39,030
madrid;1.1.-Homicidios dolosos/asesinatos;176;206;183;131;136;110;114;125;117;90;110;90;107;95;98
madrid;1.1.1.-Homicidios dolosos/asesinatos consumados;21;33;46;37;38;32;36;39;33;30;41;37;48;46;51
madrid;1.2.-Lesiones;14,141;13,662;13,585;12,094;10,596;13,704;13,078;13,088;12,717;12,700;12,354;12,860;13,361;14,689;14,764
madrid;1.3.-Malos tratos ambito familiar;21,237;20,263;18,839;16,618;14,809;14,907;13,753;13,546;12,111;11,249;11,061;10,396;10,683;10,587;10,360
madrid;1.4.-Otros contra las personas;904;749;636;540;426;567;415;334;330;6,576;11,705;11,803;13,223;13,594;13,808
madrid;2. CONTRA LA LIBERTAD;19,476;18,647;17,369;17,576;15,636;15,655;14,497;14,066;13,350;8,609;3,784;3,797;3,846;4,105;3,796
madrid;2.1.-Malos tratos habituales en el ambito familiar;1,326;1,347;1,183;1,284;1,104;1,223;1,038;1,137;1,025;1,145;1,096;1,114;1,184;1,384;1,173
madrid;2.2.-Otros contra la libertad;18,150;17,300;16,186;16,292;14,532;14,432;13,459;12,929;12,325;7,464;2,688;2,683;2,662;2,721;2,623
madrid;3. LIBERTAD SEXUAL;3,212;3,066;2,663;2,420;1,976;2,215;2,014;1,776;1,551;1,415;1,401;1,320;1,310;1,443;1,339
madrid;3.1.-Agresion sexual;1,940;1,804;1,578;1,390;1,084;1,292;1,172;977;864;770;752;710;750;799;708
madrid;3.2.-Agresion sexual con penetracion;665;649;613;538;473;455;408;368;302;284;296;267;273;306;298
madrid;3.3.-Corrupcion de menores o incapacitados;56;50;43;46;46;55;45;57;63;47;41;46;29;16;29
madrid;3.4.-Pornografia de menores;124;135;88;104;95;108;99;94;55;87;73;67;67;91;90
madrid;3.5.-Otros contra la libertad sexual;427;428;341;342;278;305;290;280;267;227;239;230;191;231;214
madrid;4. RELACIONES FAMILIARES;747;723;862;930;754;822;862;804;893;1,228;1,241;1,232;1,302;1,174;726
madrid;5. PATRIMONIO;306,730;323,394;319,089;269,675;243,275;337,836;325,802;319,369;314,569;304,377;304,167;317,363;329,046;325,156;336,388
madrid;5.1.-Hurtos;117,488;128,366;132,920;108,778;92,213;154,169;152,704;156,329;150,409;144,569;145,386;151,459;152,503;153,109;156,514
madrid;5.2.-Robos con fuerza en las cosas;40,866;41,106;39,960;33,408;31,715;47,391;49,133;48,650;54,586;52,667;55,553;59,488;63,266;65,192;70,721
madrid;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;23,193;21,961;21,974;17,229;15,947;24,125;24,583;24,412;26,262;24,021;25,162;29,116;34,034;36,153;34,265
madrid;5.2.2.-Robos con fuerza en viviendas;8,805;9,336;9,518;8,243;7,052;11,469;12,781;12,562;15,783;15,915;16,656;15,924;14,341;11,279;13,005
madrid;5.2.3.-Robos con fuerza en establecimientos;4,518;4,998;4,034;3,940;4,972;6,462;6,282;6,457;7,175;6,488;7,154;7,347;7,457;7,016;7,890
madrid;5.3.-Robos con violencia o intimidacion;11,074;12,015;12,626;12,153;10,688;15,372;14,268;16,314;16,992;17,454;18,466;21,921;24,795;21,619;20,832
madrid;5.3.1.-Robos con violencia en via pública;7,613;8,252;8,560;8,283;7,362;10,896;9,938;11,551;12,130;12,307;13,157;15,807;18,007;15,033;15,318
madrid;5.3.2.-Robos con violencia en viviendas;580;646;582;721;633;871;881;1,093;1,134;1,463;1,754;2,013;2,116;1,576;1,213
madrid;5.3.3.-Robos con violencia en establecimientos;1,474;1,495;1,661;1,277;1,304;1,595;1,572;1,616;1,547;1,607;1,610;1,829;1,929;1,776;2,205
madrid;5.4.-Sustraccion de vehiculos;6,946;7,061;7,397;6,922;6,235;8,030;8,620;10,715;10,504;10,113;10,352;12,333;13,236;13,571;13,739
madrid;5.5.-Estafas;85,927;90,148;80,979;66,395;64,133;62,020;51,869;38,712;32,206;28,952;23,698;21,601;22,223;20,151;21,502
madrid;5.5.1.-Estafas informaticas;65,361;71,534;57,794;46,978;44,139;32,841;16,509;8,887;7,210;7,001;5,128;4,625;4,826;3,665;3,226
madrid;5.6.-Danos;33,695;34,276;35,696;34,336;31,429;42,315;40,852;41,989;44,007;43,823;43,351;44,149;47,782;47,421;49,311
madrid;5.7.-Contra la propiedad intelectual/industrial;225;119;183;93;76;202;234;235;255;285;472;709;543;470;819
madrid;5.8.-Blanqueo de capitales;111;81;73;47;42;35;32;43;37;74;36;34;49;30;37
madrid;5.9.-Otros contra el patrimonio;10,398;10,222;9,255;7,543;6,744;8,302;8,090;6,382;5,573;6,440;6,853;5,669;4,649;3,593;2,913
murcia;1. CONTRA LAS PERSONAS;8,773;8,520;7,590;6,658;5,597;6,237;6,010;6,033;5,768;7,534;8,920;8,457;9,550;10,017;9,882
murcia;1.1.-Homicidios dolosos/asesinatos;83;80;59;60;51;39;36;45;34;37;33;26;36;39;43
murcia;1.1.1.-Homicidios dolosos/asesinatos consumados;14;15;8;14;10;13;11;14;12;12;8;5;10;10;15
murcia;1.2.-Lesiones;4,729;4,325;4,129;3,484;2,966;3,449;3,333;3,379;3,185;3,241;3,289;3,209;3,545;3,727;3,953
murcia;1.3.-Malos tratos ambito familiar;3,756;3,957;3,290;3,030;2,504;2,678;2,580;2,566;2,510;2,516;2,400;2,319;2,415;2,478;2,391
murcia;1.4.-Otros contra las personas;205;158;112;84;76;71;61;43;39;1,740;3,198;2,903;3,554;3,773;3,495
murcia;2. CONTRA LA LIBERTAD;5,811;5,396;4,748;4,415;4,019;3,741;3,414;3,312;3,032;2,122;1,169;1,128;1,191;1,294;1,169
murcia;2.1.-Malos tratos habituales en el ambito familiar;330;388;352;354;378;364;337;317;318;329;301;306;313;389;428
murcia;2.2.-Otros contra la libertad;5,481;5,008;4,396;4,061;3,641;3,377;3,077;2,995;2,714;1,793;868;822;878;905;741
murcia;3. LIBERTAD SEXUAL;890;721;620;613;505;535;478;391;379;368;377;288;285;316;288
murcia;3.1.-Agresion sexual;553;472;436;395;296;341;312;240;229;197;207;152;160;186;146
murcia;3.2.-Agresion sexual con penetracion;139;110;93;110;94;73;68;59;51;53;59;55;59;62;63
murcia;3.3.-Corrupcion de menores o incapacitados;90;22;7;16;14;18;15;7;14;17;18;4;7;3;14
murcia;3.4.-Pornografia de menores;28;33;20;27;32;27;14;18;16;22;14;10;10;14;9
murcia;3.5.-Otros contra la libertad sexual;80;84;64;65;69;76;69;67;69;79;79;67;49;51;56
murcia;4. RELACIONES FAMILIARES;654;660;592;615;534;552;588;570;535;581;573;493;571;505;490
murcia;5. PATRIMONIO;51,417;52,383;49,030;40,153;35,539;41,700;40,812;38,611;38,128;39,276;37,824;40,564;41,734;41,304;41,988
murcia;5.1.-Hurtos;16,201;16,564;15,475;11,925;9,925;15,138;14,888;15,261;15,735;16,697;15,551;17,166;17,034;16,390;16,128
murcia;5.2.-Robos con fuerza en las cosas;9,862;10,318;10,214;9,127;8,287;10,780;11,206;11,571;11,120;11,376;11,745;12,637;12,954;13,165;13,907
murcia;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;3,150;3,248;2,922;2,940;2,352;2,902;2,805;3,223;3,099;2,885;2,635;2,898;3,030;3,883;2,365
murcia;5.2.2.-Robos con fuerza en viviendas;3,949;3,909;4,001;3,793;3,796;5,017;5,662;5,826;5,370;5,068;5,429;5,878;5,534;4,228;4,972
murcia;5.2.3.-Robos con fuerza en establecimientos;1,146;1,356;1,306;1,028;859;1,096;1,073;1,105;1,173;1,319;1,616;1,372;1,668;1,454;1,433
murcia;5.3.-Robos con violencia o intimidacion;2,153;2,071;1,999;1,375;1,207;1,536;1,444;1,458;1,495;1,480;1,433;1,690;1,787;1,723;1,581
murcia;5.3.1.-Robos con violencia en via pública;1,332;1,307;1,293;809;742;917;968;938;962;925;930;1,073;1,181;946;1,079
murcia;5.3.2.-Robos con violencia en viviendas;179;143;130;112;123;124;109;131;123;139;157;150;148;121;101
murcia;5.3.3.-Robos con violencia en establecimientos;376;345;317;236;176;258;191;197;189;204;193;246;210;248;250
murcia;5.4.-Sustraccion de vehiculos;935;970;774;666;726;909;951;1,293;1,352;1,332;1,224;1,422;1,582;1,747;2,393
murcia;5.5.-Estafas;13,902;14,416;12,221;9,632;8,822;6,657;5,948;3,246;2,846;2,543;2,236;2,047;2,315;1,914;1,483
murcia;5.5.1.-Estafas informaticas;11,558;12,310;8,651;6,754;5,887;3,358;2,034;1,183;885;718;581;428;482;306;297
murcia;5.6.-Danos;5,890;5,752;6,140;5,447;4,733;4,813;4,848;4,783;4,715;4,661;4,668;4,730;5,202;5,622;5,869
murcia;5.7.-Contra la propiedad intelectual/industrial;34;37;37;45;50;43;52;55;46;61;44;69;50;58;143
murcia;5.8.-Blanqueo de capitales;14;11;10;15;13;8;4;5;6;7;1;8;3;5;7
murcia;5.9.-Otros contra el patrimonio;2,426;2,244;2,160;1,921;1,776;1,816;1,471;939;813;1,119;922;795;807;680;477
navarra;1. CONTRA LAS PERSONAS;3,231;3,028;3,098;2,470;2,109;2,693;2,589;2,427;2,352;2,945;4,294;3,712;2,563;2,961;2,726
navarra;1.1.-Homicidios dolosos/asesinatos;26;38;24;23;23;18;25;28;7;15;15;15;10;16;13
navarra;1.1.1.-Homicidios dolosos/asesinatos consumados;4;6;3;2;1;5;10;7;1;3;1;4;2;5;3
navarra;1.2.-Lesiones;1,945;1,784;1,838;1,448;1,108;1,638;1,506;1,409;1,382;1,299;1,484;1,321;928;1,040;973
navarra;1.3.-Malos tratos ambito familiar;1,171;1,102;1,109;936;933;1,001;1,016;956;929;759;823;660;444;456;541
navarra;1.4.-Otros contra las personas;89;104;127;63;45;36;42;34;34;872;1,972;1,716;1,181;1,449;1,199
navarra;2. CONTRA LA LIBERTAD;2,678;2,522;2,343;2,060;1,712;1,799;1,681;1,677;1,812;977;523;748;974;711;675
navarra;2.1.-Malos tratos habituales en el ambito familiar;319;310;246;150;143;151;111;128;119;137;113;118;176;146;119
navarra;2.2.-Otros contra la libertad;2,359;2,212;2,097;1,910;1,569;1,648;1,570;1,549;1,693;840;410;630;798;565;556
navarra;3. LIBERTAD SEXUAL;532;462;347;264;241;232;271;232;219;139;160;119;111;113;130
navarra;3.1.-Agresion sexual;335;274;218;144;129;126;144;127;109;60;107;76;58;67;95
navarra;3.2.-Agresion sexual con penetracion;72;82;76;66;36;52;64;49;51;26;28;14;14;18;14
navarra;3.3.-Corrupcion de menores o incapacitados;8;18;11;17;15;8;7;19;18;9;4;13;14;6;6
navarra;3.4.-Pornografia de menores;36;25;6;8;13;7;12;10;6;8;5;1;3;7;8
navarra;3.5.-Otros contra la libertad sexual;81;63;36;29;48;39;44;27;35;36;16;15;22;15;7
navarra;4. RELACIONES FAMILIARES;96;94;96;100;96;74;73;94;89;122;97;119;87;105;82
navarra;5. PATRIMONIO;25,425;25,568;23,928;18,724;16,861;21,485;19,908;18,463;18,875;17,511;19,231;17,447;15,739;14,576;13,770
navarra;5.1.-Hurtos;8,280;8,661;8,108;5,523;4,469;8,538;7,741;7,572;8,259;7,845;8,954;8,231;6,661;6,124;5,834
navarra;5.2.-Robos con fuerza en las cosas;3,223;2,939;2,850;2,358;2,202;2,912;3,093;2,877;3,253;2,833;3,505;3,310;3,733;3,667;3,570
navarra;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;904;628;649;510;635;744;819;664;927;617;691;741;719;690;492
navarra;5.2.2.-Robos con fuerza en viviendas;1,073;1,034;985;824;666;1,006;987;955;1,029;967;1,133;1,058;1,176;868;854
navarra;5.2.3.-Robos con fuerza en establecimientos;347;419;419;399;388;458;476;504;440;342;520;473;545;601;626
navarra;5.3.-Robos con violencia o intimidacion;472;467;422;298;226;331;255;432;424;351;309;354;313;175;218
navarra;5.3.1.-Robos con violencia en via pública;331;346;303;200;151;232;173;299;302;203;203;219;178;95;117
navarra;5.3.2.-Robos con violencia en viviendas;25;22;27;16;17;17;20;24;23;27;23;23;31;10;15
navarra;5.3.3.-Robos con violencia en establecimientos;76;57;55;43;32;54;44;57;44;68;48;60;56;32;46
navarra;5.4.-Sustraccion de vehiculos;169;154;132;122;131;183;173;169;214;186;244;268;187;216;207
navarra;5.5.-Estafas;8,576;9,253;7,834;6,023;6,393;5,440;4,651;3,526;2,935;2,633;2,064;1,540;1,565;1,262;1,138
navarra;5.5.1.-Estafas informaticas;6,090;6,576;4,816;3,673;3,903;2,734;2,126;1,728;1,424;1,285;792;612;512;310;280
navarra;5.6.-Danos;3,673;3,264;3,759;3,667;2,841;3,401;3,303;3,321;3,238;3,158;3,532;3,218;2,920;2,874;2,537
navarra;5.7.-Contra la propiedad intelectual/industrial;61;43;12;8;9;27;38;13;29;33;54;70;8;4;10
navarra;5.8.-Blanqueo de capitales;49;22;7;10;6;4;2;3;3;3;1;0;0;0;1
navarra;5.9.-Otros contra el patrimonio;922;765;804;715;584;649;652;550;520;469;568;456;352;254;255
vascos;1. CONTRA LAS PERSONAS;9,226;8,715;8,330;6,457;5,730;6,884;6,391;6,193;5,393;8,881;12,313;12,268;12,425;12,633;11,792
vascos;1.1.-Homicidios dolosos/asesinatos;81;50;71;62;42;37;43;41;37;54;37;41;35;50;38
vascos;1.1.1.-Homicidios dolosos/asesinatos consumados;7;6;8;11;13;10;6;5;6;11;10;13;12;12;10
vascos;1.2.-Lesiones;5,678;5,502;5,353;4,151;3,609;4,742;4,579;4,588;4,191;4,223;4,537;4,643;5,024;5,419;4,968
vascos;1.3.-Malos tratos ambito familiar;2,960;2,681;2,418;1,836;1,661;1,666;1,320;1,159;750;796;732;743;651;707;653
vascos;1.4.-Otros contra las personas;507;482;488;408;418;439;449;405;415;3,808;7,007;6,841;6,715;6,457;6,133
vascos;2. CONTRA LA LIBERTAD;9,283;8,817;7,686;7,754;7,630;7,779;7,830;7,722;7,684;6,342;4,788;4,680;4,713;4,679;4,257
vascos;2.1.-Malos tratos habituales en el ambito familiar;2,449;2,500;2,321;2,427;2,716;2,727;2,868;2,782;3,084;3,223;3,362;3,251;3,276;3,144;2,818
vascos;2.2.-Otros contra la libertad;6,834;6,317;5,365;5,327;4,914;5,052;4,962;4,940;4,600;3,119;1,426;1,429;1,437;1,535;1,439
vascos;3. LIBERTAD SEXUAL;1,150;969;813;718;602;668;659;500;394;411;391;397;371;435;417
vascos;3.1.-Agresion sexual;680;538;443;366;293;347;324;268;241;238;218;258;207;265;240
vascos;3.2.-Agresion sexual con penetracion;302;235;235;215;158;170;162;118;52;47;59;62;61;50;47
vascos;3.3.-Corrupcion de menores o incapacitados;12;14;15;10;14;8;11;11;9;16;17;7;17;10;12
vascos;3.4.-Pornografia de menores;40;40;16;30;41;34;43;42;39;34;28;19;38;46;77
vascos;3.5.-Otros contra la libertad sexual;116;142;104;97;96;109;119;61;53;76;69;51;48;64;41
vascos;4. RELACIONES FAMILIARES;154;195;125;120;136;139;205;188;181;302;375;498;435;380;337
vascos;5. PATRIMONIO;79,122;80,195;75,817;61,679;55,878;71,978;68,582;62,871;62,837;62,875;63,332;65,419;66,523;63,215;65,555
vascos;5.1.-Hurtos;31,134;30,129;29,230;22,253;17,916;30,254;29,376;27,873;28,944;28,194;28,217;28,484;27,500;26,242;26,549
vascos;5.2.-Robos con fuerza en las cosas;10,269;10,344;12,113;10,684;9,408;12,683;12,528;12,539;13,167;14,029;16,002;17,789;17,519;17,473;20,220
vascos;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;58;30;32;30;30;36;26;27;34;26;37;41;41;49;51
vascos;5.2.2.-Robos con fuerza en viviendas;3,875;4,079;5,113;4,350;3,651;5,018;4,534;4,058;4,117;4,739;6,007;5,753;4,948;4,787;4,366
vascos;5.2.3.-Robos con fuerza en establecimientos;1,577;1,890;1,948;1,761;1,503;2,626;2,759;2,687;2,829;2,773;2,615;2,848;2,823;2,781;2,991
vascos;5.3.-Robos con violencia o intimidacion;2,165;2,107;2,201;1,426;1,053;1,643;1,791;1,787;1,993;1,908;2,136;2,733;3,861;2,888;2,791
vascos;5.3.1.-Robos con violencia en via pública;1,534;1,519;1,614;996;725;1,076;1,194;1,224;1,372;1,238;1,415;1,743;2,619;1,940;1,967
vascos;5.3.2.-Robos con violencia en viviendas;129;129;103;83;93;103;149;123;164;205;188;314;515;322;204
vascos;5.3.3.-Robos con violencia en establecimientos;297;259;264;221;138;296;283;241;236;258;283;364;362;392;385
vascos;5.4.-Sustraccion de vehiculos;675;751;718;694;632;890;928;900;985;879;667;733;811;974;1,179
vascos;5.5.-Estafas;24,184;26,619;21,346;17,352;18,882;16,597;14,570;10,724;8,997;8,465;6,994;6,312;6,108;4,755;3,208
vascos;5.5.1.-Estafas informaticas;22,891;25,095;18,861;15,016;16,591;13,793;12,151;8,546;6,954;6,133;163;195;207;141;173
vascos;5.6.-Danos;8,005;7,939;8,193;7,359;6,414;8,103;7,596;7,729;7,481;7,588;7,825;7,967;9,493;9,779;10,629
vascos;5.7.-Contra la propiedad intelectual/industrial;67;58;30;11;10;15;13;7;10;24;19;15;33;17;26
vascos;5.8.-Blanqueo de capitales;31;12;10;4;9;8;5;10;2;5;3;1;3;8;4
vascos;5.9.-Otros contra el patrimonio;2,592;2,236;1,976;1,896;1,554;1,785;1,775;1,302;1,258;1,783;1,469;1,385;1,195;1,079;949
rioja;1. CONTRA LAS PERSONAS;1,435;1,490;1,391;1,166;942;1,042;1,057;1,006;979;1,176;1,527;1,462;1,623;1,625;1,695
rioja;1.1.-Homicidios dolosos/asesinatos;16;15;9;8;8;5;3;6;3;6;9;7;6;7;6
rioja;1.1.1.-Homicidios dolosos/asesinatos consumados;6;3;1;3;5;0;1;0;0;1;3;0;1;2;2
rioja;1.2.-Lesiones;770;753;792;658;500;577;562;549;557;543;603;632;666;760;847
rioja;1.3.-Malos tratos ambito familiar;601;676;550;482;413;447;479;438;406;414;399;369;398;362;327
rioja;1.4.-Otros contra las personas;48;46;40;18;21;13;13;13;13;213;516;454;553;496;515
rioja;2. CONTRA LA LIBERTAD;924;858;816;775;555;518;502;461;444;327;194;165;195;150;170
rioja;2.1.-Malos tratos habituales en el ambito familiar;81;94;97;91;73;68;48;51;42;46;43;38;41;31;37
rioja;2.2.-Otros contra la libertad;843;764;719;684;482;450;454;410;402;281;151;127;154;119;133
rioja;3. LIBERTAD SEXUAL;119;124;109;102;104;92;61;57;48;49;40;37;47;62;49
rioja;3.1.-Agresion sexual;86;82;77;69;47;65;39;40;34;30;28;22;27;41;20
rioja;3.2.-Agresion sexual con penetracion;15;18;19;14;13;15;8;7;7;9;3;6;10;11;14
rioja;3.3.-Corrupcion de menores o incapacitados;1;5;5;3;8;4;1;3;3;3;5;4;5;2;3
rioja;3.4.-Pornografia de menores;1;7;2;3;4;2;7;1;1;1;3;3;2;5;7
rioja;3.5.-Otros contra la libertad sexual;16;12;6;13;32;6;6;6;3;6;1;2;3;3;5
rioja;4. RELACIONES FAMILIARES;34;30;32;20;25;31;20;23;20;34;36;32;26;18;31
rioja;5. PATRIMONIO;8,256;8,570;8,254;5,983;5,460;6,179;5,894;5,676;5,764;6,260;6,352;7,086;7,267;7,007;6,555
rioja;5.1.-Hurtos;2,720;2,974;2,743;1,789;1,475;2,415;2,366;2,563;2,791;2,877;2,725;2,943;3,144;2,855;2,668
rioja;5.2.-Robos con fuerza en las cosas;1,399;1,356;1,251;844;806;942;1,001;1,271;1,187;1,438;1,676;2,066;1,931;1,967;2,043
rioja;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;301;260;208;178;155;185;177;222;223;229;387;446;435;405;327
rioja;5.2.2.-Robos con fuerza en viviendas;588;559;527;397;352;437;466;587;494;647;629;823;628;327;489
rioja;5.2.3.-Robos con fuerza en establecimientos;149;145;167;92;99;109;133;124;148;170;210;262;311;261;363
rioja;5.3.-Robos con violencia o intimidacion;123;150;121;116;78;91;77;104;119;136;172;211;242;224;220
rioja;5.3.1.-Robos con violencia en via pública;65;88;69;68;44;41;46;54;75;92;106;137;171;111;135
rioja;5.3.2.-Robos con violencia en viviendas;12;12;8;7;5;7;8;11;4;11;17;17;22;20;17
rioja;5.3.3.-Robos con violencia en establecimientos;35;36;29;25;19;32;12;24;27;17;26;43;28;51;48
rioja;5.4.-Sustraccion de vehiculos;71;68;77;59;31;69;78;89;99;132;78;134;126;149;165
rioja;5.5.-Estafas;2,180;2,324;2,494;1,981;2,015;1,326;1,052;458;397;449;444;482;532;475;308
rioja;5.5.1.-Estafas informaticas;1,868;2,021;2,152;1,794;1,787;996;675;168;142;159;133;122;123;64;86
rioja;5.6.-Danos;1,345;1,252;1,270;931;852;979;1,097;1,013;1,004;1,042;1,092;1,089;1,182;1,214;1,066
rioja;5.7.-Contra la propiedad intelectual/industrial;3;3;2;1;2;42;17;4;8;2;1;3;6;10;7
rioja;5.8.-Blanqueo de capitales;3;0;2;0;1;2;1;1;2;1;2;0;1;1;2
rioja;5.9.-Otros contra el patrimonio;412;443;294;262;200;313;205;173;157;183;162;158;103;112;76
ceuta;1. CONTRA LAS PERSONAS;657;644;738;835;633;710;707;700;680;697;736;743;812;783;833
ceuta;1.1.-Homicidios dolosos/asesinatos;8;11;35;12;7;20;2;8;14;7;15;17;11;11;5
ceuta;1.1.1.-Homicidios dolosos/asesinatos consumados;0;5;4;2;2;4;1;1;4;1;6;2;0;4;1
ceuta;1.2.-Lesiones;365;348;432;500;398;437;439;418;421;400;362;404;370;395;393
ceuta;1.3.-Malos tratos ambito familiar;276;283;268;317;224;250;264;263;242;190;153;110;118;54;71
ceuta;1.4.-Otros contra las personas;8;2;3;6;4;3;2;11;3;100;206;212;313;323;364
ceuta;2. CONTRA LA LIBERTAD;394;311;335;376;338;283;248;252;322;182;109;143;175;203;277
ceuta;2.1.-Malos tratos habituales en el ambito familiar;9;8;12;11;5;4;16;21;40;35;51;81;98;162;221
ceuta;2.2.-Otros contra la libertad;385;303;323;365;333;279;232;231;282;147;58;62;77;41;56
ceuta;3. LIBERTAD SEXUAL;51;45;46;47;37;23;50;25;39;17;10;16;15;13;18
ceuta;3.1.-Agresion sexual;42;32;35;31;22;15;36;14;24;10;6;10;14;10;9
ceuta;3.2.-Agresion sexual con penetracion;5;8;5;4;3;2;6;5;4;4;0;1;0;1;0
ceuta;3.3.-Corrupcion de menores o incapacitados;0;1;1;0;1;0;0;1;4;0;0;1;0;0;3
ceuta;3.4.-Pornografia de menores;2;2;3;2;1;0;2;0;0;0;1;0;0;0;3
ceuta;3.5.-Otros contra la libertad sexual;2;2;2;10;10;6;6;5;7;3;3;4;1;2;3
ceuta;4. RELACIONES FAMILIARES;17;19;29;17;16;31;28;28;43;42;57;55;74;39;31
ceuta;5. PATRIMONIO;1,829;1,909;1,817;1,800;1,714;2,159;2,243;2,132;2,361;2,723;2,767;3,046;3,433;2,860;3,053
ceuta;5.1.-Hurtos;507;529;425;434;471;819;864;810;950;1,067;1,193;1,260;1,243;1,081;983
ceuta;5.2.-Robos con fuerza en las cosas;129;192;211;189;198;241;313;455;346;621;455;615;667;479;723
ceuta;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;87;115;134;106;90;154;186;347;223;465;315;397;385;281;497
ceuta;5.2.2.-Robos con fuerza en viviendas;21;33;31;31;37;42;60;57;67;88;77;80;115;79;93
ceuta;5.2.3.-Robos con fuerza en establecimientos;6;19;13;25;30;16;25;26;32;21;30;83;87;62;49
ceuta;5.3.-Robos con violencia o intimidacion;140;84;107;195;128;147;150;131;197;174;189;223;165;168;189
ceuta;5.3.1.-Robos con violencia en via pública;107;62;75;148;97;112;115;110;156;141;156;169;141;125;141
ceuta;5.3.2.-Robos con violencia en viviendas;8;7;5;4;6;6;7;2;8;8;13;13;5;16;8
ceuta;5.3.3.-Robos con violencia en establecimientos;12;10;10;9;8;10;7;5;4;7;8;25;5;6;13
ceuta;5.4.-Sustraccion de vehiculos;112;108;107;103;84;168;247;216;387;350;319;403;653;463;436
ceuta;5.5.-Estafas;600;617;529;452;432;404;291;166;142;152;156;94;137;117;96
ceuta;5.5.1.-Estafas informaticas;497;514;469;402;359;324;182;72;64;62;64;32;66;63;60
ceuta;5.6.-Danos;251;311;378;344;350;331;324;313;296;327;411;416;486;485;553
ceuta;5.7.-Contra la propiedad intelectual/industrial;0;1;2;1;1;2;0;3;6;2;6;2;14;6;9
ceuta;5.8.-Blanqueo de capitales;3;0;1;0;0;1;4;1;1;0;1;0;0;1;0
ceuta;5.9.-Otros contra el patrimonio;87;67;57;82;50;46;50;37;36;30;37;33;68;60;64
melilla;1. CONTRA LAS PERSONAS;909;923;926;900;870;931;874;889;888;979;1,057;879;887;948;1,011
