lugar;delito;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
andalucia;5.4.-Sustraccion de vehiculos;6,065;5,957;5,578;4,848;4,821;6,511;6,872;8,755;8,835;9,008;8,312;9,125;11,294;12,037;14,065
andalucia;5.5.-Estafas;83,266;84,455;71,465;51,085;47,474;42,358;37,843;25,204;21,551;19,406;16,982;15,064;15,579;15,119;12,900
andalucia;5.5.1.-Estafas informaticas;71,252;72,795;49,323;35,288;33,036;23,237;15,081;10,366;8,165;6,536;5,666;4,481;4,378;3,609;3,433
andalucia;5.6.-Danos;34,845;35,037;34,850;31,827;28,242;33,332;34,236;35,372;34,528;33,579;34,646;36,487;41,013;42,657;44,486
andalucia;5.7.-Contra la propiedad intelectual/industrial;423;332;177;217;240;439;564;445;523;526;763;971;830;579;809
andalucia;5.8.-Blanqueo de capitales;175;106;107;86;72;82;82;61;57;71;88;71;53;46;49
andalucia;5.9.-Otros contra el patrimonio;12,870;12,380;12,247;10,421;10,016;10,847;10,706;8,478;6,464;7,036;6,844;5,977;4,784;4,010;3,375
aragon;1. CONTRA LAS PERSONAS;6,413;6,071;5,597;4,530;4,083;4,760;4,474;4,146;4,005;4,735;5,975;6,330;5,987;6,848;6,752
aragon;1.1.-Homicidios dolosos/asesinatos;37;47;37;18;39;15;17;23;25;23;18;14;16;14;23
aragon;1.1.1.-Homicidios dolosos/asesinatos consumados;8;9;10;5;4;6;9;8;8;9;5;7;6;6;10
aragon;1.2.-Lesiones;2,983;2,949;2,838;2,235;1,798;2,407;2,249;2,137;2,073;2,016;2,219;2,329;2,294;2,584;2,658
aragon;1.3.-Malos tratos ambito familiar;3,257;2,967;2,627;2,167;2,158;2,246;2,093;1,929;1,864;1,690;1,718;1,719;1,558;1,913;1,513
aragon;1.4.-Otros contra las personas;136;108;95;110;88;92;115;57;43;1,006;2,020;2,268;2,119;2,337;2,558
aragon;2. CONTRA LA LIBERTAD;3,361;3,139;2,719;2,785;2,482;2,276;2,233;2,071;2,134;1,384;909;909;914;1,038;966
aragon;2.1.-Malos tratos habituales en el ambito familiar;299;301;282;308;300;285;273;249;251;304;363;387;379;463;418
aragon;2.2.-Otros contra la libertad;3,062;2,838;2,437;2,477;2,182;1,991;1,960;1,822;1,883;1,080;546;522;535;575;548
aragon;3. LIBERTAD SEXUAL;467;511;423;443;306;330;346;274;287;251;227;232;215;271;310
aragon;3.1.-Agresion sexual;308;330;245;256;165;212;206;159;169;137;118;116;114;142;168
aragon;3.2.-Agresion sexual con penetracion;86;92;89;102;63;47;53;46;51;41;42;44;46;55;65
aragon;3.3.-Corrupcion de menores o incapacitados;8;13;18;14;10;11;11;11;20;21;17;18;8;15;7
aragon;3.4.-Pornografia de menores;23;21;20;28;13;20;26;18;8;19;16;14;17;24;29
aragon;3.5.-Otros contra la libertad sexual;42;55;51;43;55;40;50;40;39;33;34;40;30;35;41
aragon;4. RELACIONES FAMILIARES;197;179;186;156;151;161;177;161;155;159;210;168;148;139;140
aragon;5. PATRIMONIO;38,080;36,261;34,667;30,192;25,509;31,651;29,952;28,437;28,874;29,101;30,042;32,032;35,860;38,211;39,806
aragon;5.1.-Hurtos;11,733;10,651;10,629;8,925;6,747;10,546;10,710;11,004;11,936;12,155;12,775;14,058;16,318;17,216;17,195
aragon;5.2.-Robos con fuerza en las cosas;5,455;5,550;5,193;4,365;3,652;5,471;5,200;5,167;5,615;5,636;5,958;6,993;7,806;8,712;9,835
aragon;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;1,045;1,044;1,026;961;828;1,703;1,268;1,306;1,371;1,348;1,255;1,374;1,857;2,546;2,003
aragon;5.2.2.-Robos con fuerza en viviendas;1,922;1,955;1,493;1,346;1,139;1,568;1,751;1,787;1,898;1,883;1,894;2,179;2,229;1,618;2,184
aragon;5.2.3.-Robos con fuerza en establecimientos;646;747;881;658;725;737;709;743;713;690;791;1,033;1,305;1,040;1,686
aragon;5.3.-Robos con violencia o intimidacion;1,381;1,076;1,195;960;769;1,033;919;798;910;820;915;1,240;1,460;1,566;1,620
aragon;5.3.1.-Robos con violencia en via pública;939;702;843;644;541;730;630;518;613;530;589;790;965;981;1,102
aragon;5.3.2.-Robos con violencia en viviendas;105;65;55;50;36;40;48;54;65;63;86;86;122;112;102
aragon;5.3.3.-Robos con violencia en establecimientos;227;203;197;173;125;193;149;148;128;142;147;217;223;255;256
aragon;5.4.-Sustraccion de vehiculos;278;318;279;252;190;242;279;392;388;373;406;504;573;811;1,017
aragon;5.5.-Estafas;12,579;12,353;10,951;9,175;8,762;7,976;6,751;4,805;3,813;3,685;3,174;2,397;2,559;2,222;1,862
aragon;5.5.1.-Estafas informaticas;11,081;10,891;8,732;7,310;6,970;4,536;3,131;1,860;1,437;1,470;1,426;927;984;631;536
aragon;5.6.-Danos;5,328;5,095;5,208;5,347;4,414;5,122;4,804;5,165;5,222;5,355;5,754;5,993;6,545;7,121;7,686
aragon;5.7.-Contra la propiedad intelectual/industrial;32;23;20;29;20;34;19;21;28;47;62;67;52;64;101
aragon;5.8.-Blanqueo de capitales;13;4;10;6;12;3;2;3;8;5;4;7;5;6;3
aragon;5.9.-Otros contra el patrimonio;1,281;1,191;1,182;1,133;943;1,224;1,268;1,082;954;1,025;994;773;542;493;487
asturias;1. CONTRA LAS PERSONAS;4,447;4,185;3,895;3,208;3,038;3,368;3,159;3,160;3,239;4,238;5,429;5,617;5,677;6,256;6,171
asturias;1.1.-Homicidios dolosos/asesinatos;20;21;22;9;14;18;18;16;22;18;27;17;15;22;37
asturias;1.1.1.-Homicidios dolosos/asesinatos consumados;7;6;6;1;5;7;7;5;6;4;7;8;6;9;19
asturias;1.2.-Lesiones;2,376;2,235;2,213;1,743;1,589;1,947;1,844;1,906;1,989;1,935;1,951;2,102;2,200;2,416;2,315
asturias;1.3.-Malos tratos ambito familiar;1,972;1,861;1,593;1,393;1,381;1,344;1,246;1,189;1,179;1,175;1,213;1,215;1,280;1,469;1,342
asturias;1.4.-Otros contra las personas;79;68;67;63;54;59;51;49;49;1,110;2,238;2,283;2,182;2,349;2,477
asturias;2. CONTRA LA LIBERTAD;2,461;2,421;2,228;1,946;1,892;1,872;1,751;1,842;1,824;1,155;494;513;539;532;660
asturias;2.1.-Malos tratos habituales en el ambito familiar;87;92;105;91;68;107;112;88;130;128;113;69;81;99;208
asturias;2.2.-Otros contra la libertad;2,374;2,329;2,123;1,855;1,824;1,765;1,639;1,754;1,694;1,027;381;444;458;433;452
asturias;3. LIBERTAD SEXUAL;314;325;277;266;215;193;207;146;146;147;125;119;149;125;153
asturias;3.1.-Agresion sexual;184;199;174;135;116;121;122;84;84;90;73;59;100;71;76
asturias;3.2.-Agresion sexual con penetracion;67;67;46;67;46;28;27;30;26;17;19;22;19;19;25
